RESERVOIR node 0 SYN_RHO1P25_R4
reservoir_init_fr= 0.70000  masl=757.007
Filling at HRW [Mm3] = 40.00000
Filling at LRW [Mm3] = 4.00000
Active reservoir capacity [Mm3] = 36.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 10 9 0 6.5436 91.9400 0.0000 0.0000 35.5658 755.8521 0.8768 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 10 0 5.6395 137.7100 0.0000 0.0000 35.8803 755.9335 0.8856 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 11 0 5.3669 174.3200 0.0000 0.0000 36.1712 756.0088 0.8936 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 12 0 4.6063 199.9900 0.0000 0.0000 36.3964 756.0671 0.8999 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 13 0 4.0897 233.6000 0.0000 0.0000 36.5769 756.1139 0.9049 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 14 0 3.5444 217.2400 0.0000 0.0000 36.7104 756.1484 0.9086 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 15 0 5.4673 154.6600 0.0000 0.0000 37.0100 756.2259 0.9169 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 16 0 6.3570 113.2100 0.0000 0.0000 37.3864 756.3234 0.9274 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 17 0 5.9696 146.2200 0.0000 0.0000 37.7294 756.4122 0.9369 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 18 0 5.5965 163.8200 0.0000 0.0000 38.0401 756.4926 0.9456 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 19 0 4.8359 159.7000 0.0000 0.0000 38.2851 756.5561 0.9524 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 20 0 3.9606 142.1100 0.0000 0.0000 38.4545 756.5999 0.9571 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 21 0 3.4296 157.4800 0.0000 0.0000 38.5780 756.6319 0.9605 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 22 0 3.2574 142.0700 0.0000 0.0000 38.6867 756.6600 0.9635 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 23 0 7.0602 99.6700 0.0000 0.0000 39.1239 756.7732 0.9757 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 24 0 9.4566 85.2000 0.0000 0.0000 39.7681 756.9400 0.9936 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 25 0 6.8449 110.5100 0.0000 0.0000 40.1787 757.0089 1.0050 0.0000 2.0000 0.0000 0.0934 0.0000 2.0934 
2022 10 26 0 16.8612 121.4900 0.0000 0.0000 41.3995 757.0700 1.0389 0.0000 2.0000 0.0000 0.7313 0.0000 2.7313 
2022 10 27 0 9.5858 117.6600 0.0000 0.0000 41.9661 757.0983 1.0546 0.0000 2.0000 0.0000 1.0274 0.0000 3.0274 
2022 10 28 0 7.1176 103.2200 0.0000 0.0000 42.3042 757.1152 1.0640 0.0000 2.0000 0.0000 1.2041 0.0000 3.2041 
2022 10 29 0 8.5239 101.6200 0.0000 0.0000 42.7440 757.1372 1.0762 0.0000 2.0000 0.0000 1.4340 0.0000 3.4340 
2022 10 30 0 7.7777 117.9300 0.0000 0.0000 43.1031 757.1552 1.0862 0.0000 2.0000 0.0000 1.6216 0.0000 3.6216 
2022 10 31 0 4.8359 144.1300 0.0000 0.0000 43.2035 757.1602 1.0890 0.0000 2.0000 0.0000 1.6741 0.0000 3.6741 
2022 11 1 0 4.8359 72.4900 0.0000 0.0000 43.2995 757.1650 1.0917 0.0000 2.0000 0.0000 1.7243 0.0000 3.7243 
2022 11 2 0 7.7920 71.1700 0.0000 0.0000 43.6358 757.1818 1.1010 0.0000 2.0000 0.0000 1.9000 0.0000 3.9000 
2022 11 3 0 15.4979 86.5000 0.0000 0.0000 44.5946 757.2297 1.1276 0.0000 2.0000 0.0000 2.4010 0.0000 4.4010 
2022 11 4 0 14.2495 72.6700 0.0000 0.0000 45.4087 757.2704 1.1502 0.0000 2.0000 0.0000 2.8265 0.0000 4.8265 
2022 11 5 0 11.7095 47.6500 0.0000 0.0000 45.9777 757.2989 1.1660 0.0000 2.0000 0.0000 3.1238 0.0000 5.1238 
2022 11 6 0 8.6530 35.7500 0.0000 0.0000 46.2695 757.3135 1.1742 0.0000 2.0000 0.0000 3.2763 0.0000 5.2763 
2022 11 7 0 10.9203 43.8300 0.0000 0.0000 46.7361 757.3368 1.1871 0.0000 2.0000 0.0000 3.5201 0.0000 5.5201 
2022 11 8 0 9.3849 51.0900 0.0000 0.0000 47.0555 757.3528 1.1960 0.0000 2.0000 0.0000 3.6871 0.0000 5.6871 
2022 11 9 0 10.9203 42.5700 0.0000 0.0000 47.4882 757.3744 1.2080 0.0000 2.0000 0.0000 3.9131 0.0000 5.9131 
2022 11 10 0 8.4378 27.4000 0.0000 0.0000 47.6969 757.3848 1.2138 0.0000 2.0000 0.0000 4.0222 0.0000 6.0222 
2022 11 11 0 6.8162 2.0000 0.0000 0.0000 47.7625 757.3881 1.2156 0.0000 2.0000 0.0000 4.0565 0.0000 6.0565 
2022 11 12 0 5.5821 2.3700 0.0000 0.0000 47.7233 757.3862 1.2145 0.0000 2.0000 0.0000 4.0360 0.0000 6.0360 
2022 11 13 0 4.7785 29.9300 0.0000 0.0000 47.6193 757.3810 1.2116 0.0000 2.0000 0.0000 3.9817 0.0000 5.9817 
2022 11 14 0 4.6637 53.6800 0.0000 0.0000 47.5104 757.3755 1.2086 0.0000 2.0000 0.0000 3.9247 0.0000 5.9247 
2022 11 15 0 6.5292 53.7500 0.0000 0.0000 47.5604 757.3780 1.2100 0.0000 2.0000 0.0000 3.9509 0.0000 5.9509 
2022 11 16 0 9.8154 27.6900 0.0000 0.0000 47.8798 757.3940 1.2189 0.0000 2.0000 0.0000 4.1178 0.0000 6.1178 
