Riversystem syn_rho1p25_R4 reservoir fractions [fr] 
YYYY MM DD HH SYN_RHO1P25_R4 
2023 3 29 0 0.9554 
2023 3 30 0 0.9552 
2023 3 31 0 0.9600 
2023 4 1 0 0.9807 
2023 4 2 0 0.9995 
2023 4 3 0 1.0097 
2023 4 4 0 1.0140 
2023 4 5 0 1.0164 
2023 4 6 0 1.0178 
2023 4 7 0 1.0180 
2023 4 8 0 1.0176 
2023 4 9 0 1.0166 
2023 4 10 0 1.0158 
2023 4 11 0 1.0220 
2023 4 12 0 1.0267 
2023 4 13 0 1.0311 
2023 4 14 0 1.0368 
2023 4 15 0 1.0417 
2023 4 16 0 1.0465 
2023 4 17 0 1.0516 
2023 4 18 0 1.0574 
2023 4 19 0 1.0639 
2023 4 20 0 1.0722 
2023 4 21 0 1.0831 
2023 4 22 0 1.0966 
2023 4 23 0 1.1135 
2023 4 24 0 1.1294 
2023 4 25 0 1.1420 
2023 4 26 0 1.1509 
2023 4 27 0 1.1561 
2023 4 28 0 1.1592 
2023 4 29 0 1.1611 
2023 4 30 0 1.1623 
2023 5 1 0 1.1631 
2023 5 2 0 1.1644 
2023 5 3 0 1.1664 
2023 5 4 0 1.1685 
2023 5 5 0 1.1701 
2023 5 6 0 1.1706 
2023 5 7 0 1.1701 
2023 5 8 0 1.1704 
2023 5 9 0 1.1747 
2023 5 10 0 1.1900 
2023 5 11 0 1.2099 
2023 5 12 0 1.2379 
2023 5 13 0 1.2682 
2023 5 14 0 1.2968 
2023 5 15 0 1.3329 
2023 5 16 0 1.3803 
2023 5 17 0 1.4119 
2023 5 18 0 1.4294 
2023 5 19 0 1.4406 
2023 5 20 0 1.4506 
2023 5 21 0 1.4581 
2023 5 22 0 1.4640 
2023 5 23 0 1.4765 
2023 5 24 0 1.4904 
2023 5 25 0 1.5008 
2023 5 26 0 1.5122 
2023 5 27 0 1.5195 
2023 5 28 0 1.5195 
2023 5 29 0 1.5120 
2023 5 30 0 1.5015 
2023 5 31 0 1.4891 
2023 6 1 0 1.4756 
2023 6 2 0 1.4605 
2023 6 3 0 1.4444 
2023 6 4 0 1.4281 
2023 6 5 0 1.4117 
2023 6 6 0 1.3951 
2023 6 7 0 1.3783 
2023 6 8 0 1.3616 
2023 6 9 0 1.3450 
2023 6 10 0 1.3285 
2023 6 11 0 1.3123 
2023 6 12 0 1.2964 
2023 6 13 0 1.2810 
2023 6 14 0 1.2660 
2023 6 15 0 1.2514 
2023 6 16 0 1.2374 
2023 6 17 0 1.2238 
2023 6 18 0 1.2108 
2023 6 19 0 1.1983 
2023 6 20 0 1.1865 
2023 6 21 0 1.1760 
2023 6 22 0 1.1702 
2023 6 23 0 1.1630 
2023 6 24 0 1.1547 
2023 6 25 0 1.1458 
2023 6 26 0 1.1368 
2023 6 27 0 1.1281 
2023 6 28 0 1.1197 
2023 6 29 0 1.1117 
2023 6 30 0 1.1040 
2023 7 1 0 1.0964 
2023 7 2 0 1.0892 
2023 7 3 0 1.0822 
2023 7 4 0 1.0759 
2023 7 5 0 1.0699 
2023 7 6 0 1.0644 
2023 7 7 0 1.0599 
2023 7 8 0 1.0579 
2023 7 9 0 1.0562 
2023 7 10 0 1.0540 
2023 7 11 0 1.0514 
2023 7 12 0 1.0497 
2023 7 13 0 1.0472 
2023 7 14 0 1.0441 
2023 7 15 0 1.0416 
2023 7 16 0 1.0430 
2023 7 17 0 1.0475 
2023 7 18 0 1.0502 
2023 7 19 0 1.0506 
2023 7 20 0 1.0498 
2023 7 21 0 1.0480 
2023 7 22 0 1.0458 
2023 7 23 0 1.0434 
2023 7 24 0 1.0407 
2023 7 25 0 1.0376 
2023 7 26 0 1.0343 
2023 7 27 0 1.0308 
2023 7 28 0 1.0272 
2023 7 29 0 1.0237 
2023 7 30 0 1.0209 
2023 7 31 0 1.0217 
2023 8 1 0 1.0210 
2023 8 2 0 1.0186 
2023 8 3 0 1.0157 
2023 8 4 0 1.0125 
2023 8 5 0 1.0093 
2023 8 6 0 1.0061 
2023 8 7 0 1.0028 
2023 8 8 0 1.0015 
2023 8 9 0 1.0020 
2023 8 10 0 1.0022 
2023 8 11 0 1.0034 
2023 8 12 0 1.0030 
2023 8 13 0 1.0017 
2023 8 14 0 1.0000 
2023 8 15 0 1.0012 
2023 8 16 0 1.0035 
2023 8 17 0 1.0045 
2023 8 18 0 1.0044 
2023 8 19 0 1.0039 
2023 8 20 0 1.0063 
2023 8 21 0 1.0069 
2023 8 22 0 1.0065 
2023 8 23 0 1.0055 
2023 8 24 0 1.0039 
2023 8 25 0 1.0033 
2023 8 26 0 1.0050 
2023 8 27 0 1.0068 
2023 8 28 0 1.0072 
2023 8 29 0 1.0066 
2023 8 30 0 1.0053 
2023 8 31 0 1.0037 
