Riversystem syn_rho1_R4 reservoir fractions [fr] 
YYYY MM DD HH SYN_RHO1_R4 
2023 3 29 0 0.8807 
2023 3 30 0 0.8795 
2023 3 31 0 0.8820 
2023 4 1 0 0.8966 
2023 4 2 0 0.9098 
2023 4 3 0 0.9168 
2023 4 4 0 0.9194 
2023 4 5 0 0.9207 
2023 4 6 0 0.9212 
2023 4 7 0 0.9208 
2023 4 8 0 0.9199 
2023 4 9 0 0.9186 
2023 4 10 0 0.9174 
2023 4 11 0 0.9217 
2023 4 12 0 0.9251 
2023 4 13 0 0.9284 
2023 4 14 0 0.9328 
2023 4 15 0 0.9369 
2023 4 16 0 0.9410 
2023 4 17 0 0.9456 
2023 4 18 0 0.9508 
2023 4 19 0 0.9568 
2023 4 20 0 0.9645 
2023 4 21 0 0.9745 
2023 4 22 0 0.9869 
2023 4 23 0 1.0025 
2023 4 24 0 1.0171 
2023 4 25 0 1.0292 
2023 4 26 0 1.0382 
2023 4 27 0 1.0445 
2023 4 28 0 1.0489 
2023 4 29 0 1.0524 
2023 4 30 0 1.0552 
2023 5 1 0 1.0577 
2023 5 2 0 1.0605 
2023 5 3 0 1.0637 
2023 5 4 0 1.0670 
2023 5 5 0 1.0698 
2023 5 6 0 1.0716 
2023 5 7 0 1.0727 
2023 5 8 0 1.0742 
2023 5 9 0 1.0788 
2023 5 10 0 1.0917 
2023 5 11 0 1.1081 
2023 5 12 0 1.1306 
2023 5 13 0 1.1548 
2023 5 14 0 1.1776 
2023 5 15 0 1.2061 
2023 5 16 0 1.2432 
2023 5 17 0 1.2682 
2023 5 18 0 1.2824 
2023 5 19 0 1.2918 
2023 5 20 0 1.3002 
2023 5 21 0 1.3067 
2023 5 22 0 1.3119 
2023 5 23 0 1.3221 
2023 5 24 0 1.3334 
2023 5 25 0 1.3420 
2023 5 26 0 1.3513 
2023 5 27 0 1.3574 
2023 5 28 0 1.3580 
2023 5 29 0 1.3529 
2023 5 30 0 1.3454 
2023 5 31 0 1.3364 
2023 6 1 0 1.3266 
2023 6 2 0 1.3155 
2023 6 3 0 1.3037 
2023 6 4 0 1.2917 
2023 6 5 0 1.2796 
2023 6 6 0 1.2673 
2023 6 7 0 1.2549 
2023 6 8 0 1.2425 
2023 6 9 0 1.2302 
2023 6 10 0 1.2179 
2023 6 11 0 1.2059 
2023 6 12 0 1.1941 
2023 6 13 0 1.1826 
2023 6 14 0 1.1714 
2023 6 15 0 1.1606 
2023 6 16 0 1.1501 
2023 6 17 0 1.1400 
2023 6 18 0 1.1303 
2023 6 19 0 1.1211 
2023 6 20 0 1.1123 
2023 6 21 0 1.1044 
2023 6 22 0 1.1003 
2023 6 23 0 1.0949 
2023 6 24 0 1.0887 
2023 6 25 0 1.0821 
2023 6 26 0 1.0754 
2023 6 27 0 1.0689 
2023 6 28 0 1.0627 
2023 6 29 0 1.0568 
2023 6 30 0 1.0510 
2023 7 1 0 1.0454 
2023 7 2 0 1.0400 
2023 7 3 0 1.0348 
2023 7 4 0 1.0301 
2023 7 5 0 1.0256 
2023 7 6 0 1.0215 
2023 7 7 0 1.0182 
2023 7 8 0 1.0167 
2023 7 9 0 1.0156 
2023 7 10 0 1.0140 
2023 7 11 0 1.0121 
2023 7 12 0 1.0108 
2023 7 13 0 1.0090 
2023 7 14 0 1.0067 
2023 7 15 0 1.0049 
2023 7 16 0 1.0060 
2023 7 17 0 1.0095 
2023 7 18 0 1.0116 
2023 7 19 0 1.0120 
2023 7 20 0 1.0114 
2023 7 21 0 1.0101 
2023 7 22 0 1.0085 
2023 7 23 0 1.0067 
2023 7 24 0 1.0047 
2023 7 25 0 1.0024 
2023 7 26 0 0.9999 
2023 7 27 0 0.9971 
2023 7 28 0 0.9942 
2023 7 29 0 0.9912 
2023 7 30 0 0.9887 
2023 7 31 0 0.9889 
2023 8 1 0 0.9879 
2023 8 2 0 0.9856 
2023 8 3 0 0.9827 
2023 8 4 0 0.9796 
2023 8 5 0 0.9764 
2023 8 6 0 0.9730 
2023 8 7 0 0.9695 
2023 8 8 0 0.9674 
2023 8 9 0 0.9666 
2023 8 10 0 0.9657 
2023 8 11 0 0.9656 
2023 8 12 0 0.9643 
2023 8 13 0 0.9622 
2023 8 14 0 0.9598 
2023 8 15 0 0.9596 
2023 8 16 0 0.9603 
2023 8 17 0 0.9601 
2023 8 18 0 0.9590 
2023 8 19 0 0.9576 
2023 8 20 0 0.9585 
2023 8 21 0 0.9581 
2023 8 22 0 0.9569 
2023 8 23 0 0.9551 
2023 8 24 0 0.9529 
2023 8 25 0 0.9515 
2023 8 26 0 0.9517 
2023 8 27 0 0.9523 
2023 8 28 0 0.9516 
2023 8 29 0 0.9502 
2023 8 30 0 0.9483 
2023 8 31 0 0.9461 
