RESERVOIR node 0 SYN_RHO1_R4
reservoir_init_fr= 0.70000  masl=756.498
Filling at HRW [Mm3] = 40.00000
Filling at LRW [Mm3] = 4.00000
Active reservoir capacity [Mm3] = 36.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 10 10 0 4.2971 137.7100 0.0000 0.0000 32.6447 755.0959 0.7957 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 11 0 4.0893 174.3200 0.0000 0.0000 32.8253 755.1426 0.8007 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 12 0 3.5098 199.9900 0.0000 0.0000 32.9557 755.1764 0.8043 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 13 0 3.1162 233.6000 0.0000 0.0000 33.0521 755.2014 0.8070 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 14 0 2.7007 217.2400 0.0000 0.0000 33.1127 755.2170 0.8087 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 15 0 4.1659 154.6600 0.0000 0.0000 33.2998 755.2655 0.8139 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 16 0 4.8438 113.2100 0.0000 0.0000 33.5455 755.3291 0.8207 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 17 0 4.5486 146.2200 0.0000 0.0000 33.7657 755.3861 0.8268 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 18 0 4.2643 163.8200 0.0000 0.0000 33.9614 755.4367 0.8323 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 19 0 3.6848 159.7000 0.0000 0.0000 34.1069 755.4744 0.8363 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 20 0 3.0178 142.1100 0.0000 0.0000 34.1949 755.4972 0.8387 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 21 0 2.6132 157.4800 0.0000 0.0000 34.2478 755.5109 0.8402 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 22 0 2.4820 142.0700 0.0000 0.0000 34.2895 755.5217 0.8414 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 23 0 5.3795 99.6700 0.0000 0.0000 34.5815 755.5973 0.8495 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 24 0 7.2055 85.2000 0.0000 0.0000 35.0312 755.7137 0.8620 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 25 0 5.2155 110.5100 0.0000 0.0000 35.3091 755.7856 0.8697 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 26 0 12.8475 121.4900 0.0000 0.0000 36.2463 756.0283 0.8957 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 27 0 7.3039 117.6600 0.0000 0.0000 36.7045 756.1469 0.9085 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 28 0 5.4233 103.2200 0.0000 0.0000 37.0003 756.2235 0.9167 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 29 0 6.4948 101.6200 0.0000 0.0000 37.3887 756.3240 0.9275 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 30 0 5.9262 117.9300 0.0000 0.0000 37.7279 756.4118 0.9369 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
