Date_NodeID	0
20220901	0.334786
20220902	0.296525
20220903	0.267829
20220904	0.306090
20220905	0.363482
20220906	0.440005
20220907	0.449570
20220908	0.401744
20220909	0.363482
20220910	0.382613
20220911	0.459135
20220912	0.669573
20220913	1.817411
20220914	1.291318
20220915	1.071316
20220916	0.880010
20220917	0.726964
20220918	0.583485
20220919	0.487831
20220920	0.430439
20220921	0.392178
20220922	0.373048
20220923	0.373048
20220924	0.392178
20220925	1.989587
20220926	3.261775
20220927	4.065262
20220928	5.557452
20220929	3.711345
20220930	2.793074
20221001	5.280058
20221002	6.313112
20221003	5.547887
20221004	5.423537
20221005	11.019251
20221006	16.174959
20221007	6.523549
20221008	5.528756
20221009	4.361787
20221010	3.759171
20221011	3.577430
20221012	3.070468
20221013	2.726117
20221014	2.362634
20221015	3.644388
20221016	4.237438
20221017	3.979174
20221018	3.730476
20221019	3.223513
20221020	2.640029
20221021	2.286112
20221022	2.171328
20221023	4.706138
20221024	6.303547
20221025	4.562659
20221026	11.239253
20221027	6.389635
20221028	4.744400
20221029	5.681801
20221030	5.184404
20221031	3.223513
20221101	3.223513
20221102	5.193970
20221103	10.330548
20221104	9.498365
20221105	7.805303
20221106	5.767889
20221107	7.279210
20221108	6.255720
20221109	7.279210
20221110	5.624409
20221111	4.543528
20221112	3.720910
20221113	3.185252
20221114	3.108730
20221115	4.352221
20221116	6.542680
20221117	12.521006
20221118	6.112241
20221119	3.606126
20221120	3.854825
20221121	2.640029
20221122	2.200024
20221123	2.726117
20221124	2.840901
20221125	3.912217
20221126	5.624409
20221127	6.322678
20221128	7.489647
20221129	5.069621
20221130	3.462647
20221201	2.659159
20221202	2.247851
20221203	1.893934
20221204	1.740889
20221205	1.626105
20221206	1.616539
20221207	1.578278
20221208	1.664366
20221209	1.788715
20221210	1.788715
20221211	1.893934
20221212	1.903499
20221213	1.817411
20221214	1.712193
20221215	1.587843
20221216	1.501756
20221217	1.444364
20221218	1.482625
20221219	1.616539
20221220	2.037414
20221221	3.586996
20221222	3.701780
20221223	2.745247
20221224	1.960891
20221225	1.606974
20221226	3.003511
20221227	2.400896
20221228	1.731323
20221229	1.721758
20221230	1.578278
20221231	1.999152
20230101	1.635670
20230102	1.425233
20230103	1.291318
20230104	1.195665
20230105	1.645235
20230106	1.396537
20230107	1.415668
20230108	2.802639
20230109	4.074827
20230110	3.003511
20230111	2.486984
20230112	2.142632
20230113	1.826976
20230114	1.568713
20230115	1.482625
20230116	1.434798
20230117	1.348710
20230118	1.358276
20230119	1.195665
20230120	1.157404
20230121	1.090447
20230122	1.090447
20230123	1.253057
20230124	1.128708
20230125	1.128708
20230126	1.272188
20230127	1.205231
20230128	1.109577
20230129	1.042620
20230130	1.166969
20230131	1.128708
20230201	1.052185
20230202	1.205231
20230203	1.042620
20230204	0.880010
20230205	0.822618
20230206	0.765226
20230207	0.707834
20230208	0.679138
20230209	0.774791
20230210	0.822618
20230211	0.880010
20230212	0.927836
20230213	0.927836
20230214	0.918271
20230215	0.784356
20230216	0.726964
20230217	0.851314
20230218	0.927836
20230219	0.985228
20230220	1.052185
20230221	1.109577
20230222	0.985228
20230223	1.052185
20230224	1.109577
20230225	1.358276
20230226	1.932195
20230227	2.276547
20230228	1.913064
20230301	1.664366
20230302	1.482625
20230303	1.348710
20230304	1.291318
20230305	1.291318
20230306	1.033055
20230307	0.822618
20230308	0.803487
20230309	0.717399
20230310	0.640877
20230311	0.602615
20230312	0.650442
20230313	0.640877
20230314	0.621746
20230315	0.583485
20230316	0.545223
20230317	0.583485
20230318	0.698268
20230319	0.660007
20230320	0.717399
20230321	0.726964
20230322	0.736530
20230323	0.822618
20230324	1.023489
20230325	1.253057
20230326	1.348710
20230327	1.425233
20230328	1.501756
20230329	1.339145
20230330	1.281753
20230331	2.659159
20230401	7.097469
20230402	6.552245
20230403	4.285264
20230404	2.716551
20230405	2.200024
20230406	1.951326
20230407	1.616539
20230408	1.415668
20230409	1.272188
20230410	1.300884
20230411	3.338297
20230412	2.965250
20230413	2.965250
20230414	3.366993
20230415	3.233079
20230416	3.233079
20230417	3.414820
20230418	3.663518
20230419	3.940913
20230420	4.533963
20230421	5.404407
20230422	6.274851
20230423	7.470516
20230424	7.365298
20230425	6.619203
20230426	5.691366
20230427	4.744400
20230428	4.180046
20230429	3.893086
20230430	3.682649
20230501	3.596561
20230502	3.759171
20230503	3.969609
20230504	4.055696
20230505	3.902651
20230506	3.606126
20230507	3.338297
20230508	3.539169
20230509	4.725269
20230510	7.948782
20230511	9.517495
20230512	12.090567
20230513	13.104491
20230514	12.989707
20230515	15.543648
20230516	19.254993
20230517	15.285384
20230518	11.583605
20230519	9.967065
20230520	9.766194
20230521	9.163578
20230522	8.771400
20230523	10.780118
20230524	11.354037
20230525	10.512289
20230526	10.904467
20230527	9.880977
20230528	7.833999
20230529	5.691366
20230530	4.696573
20230531	4.036566
20230601	3.529604
20230602	2.917423
20230603	2.439157
20230604	2.180893
20230605	1.932195
20230606	1.664366
20230607	1.425233
20230608	1.224361
20230609	1.042620
20230610	0.880010
20230611	0.746095
20230612	0.650442
20230613	0.573919
20230614	0.487831
20230615	0.440005
20230616	0.411309
20230617	0.373048
20230618	0.353917
20230619	0.363482
20230620	0.401744
20230621	0.602615
20230622	1.874803
20230623	1.367841
20230624	0.956532
20230625	0.688703
20230626	0.554789
20230627	0.516527
20230628	0.526093
20230629	0.497397
20230630	0.497397
20230701	0.440005
20230702	0.440005
20230703	0.440005
20230704	0.535658
20230705	0.526093
20230706	0.612181
20230707	0.851314
20230708	1.482625
20230709	1.587843
20230710	1.396537
20230711	1.253057
20230712	1.473060
20230713	1.243492
20230714	1.013924
20230715	1.176535
20230716	2.238285
20230717	3.175687
20230718	2.716551
20230719	2.094805
20230720	1.721758
20230721	1.453929
20230722	1.272188
20230723	1.233927
20230724	1.090447
20230725	0.927836
20230726	0.841748
20230727	0.755660
20230728	0.688703
20230729	0.660007
20230730	0.813052
20230731	1.826976
20230801	1.386972
20230802	0.918271
20230803	0.707834
20230804	0.602615
20230805	0.573919
20230806	0.516527
20230807	0.459135
20230808	0.985228
20230809	1.492190
20230810	1.415668
20230811	1.712193
20230812	1.272188
20230813	0.975663
20230814	0.860879
20230815	1.693062
20230816	2.018283
20230817	1.654801
20230818	1.358276
20230819	1.243492
20230820	2.075675
20230821	1.606974
20230822	1.300884
20230823	1.109577
20230824	0.946967
20230825	1.214796
20230826	1.846107
20230827	1.941760
20230828	1.520886
20230829	1.243492
20230830	1.052185
20230831	0.937402
