Date_NodeID	0
20220901	0.35
20220902	0.31
20220903	0.28
20220904	0.32
20220905	0.38
20220906	0.46
20220907	0.47
20220908	0.42
20220909	0.38
20220910	0.40
20220911	0.48
20220912	0.70
20220913	1.90
20220914	1.35
20220915	1.12
20220916	0.92
20220917	0.76
20220918	0.61
20220919	0.51
20220920	0.45
20220921	0.41
20220922	0.39
20220923	0.39
20220924	0.41
20220925	2.08
20220926	3.41
20220927	4.25
20220928	5.81
20220929	3.88
20220930	2.92
20221001	5.52
20221002	6.60
20221003	5.80
20221004	5.67
20221005	11.52
20221006	16.91
20221007	6.82
20221008	5.78
20221009	4.56
20221010	3.93
20221011	3.74
20221012	3.21
20221013	2.85
20221014	2.47
20221015	3.81
20221016	4.43
20221017	4.16
20221018	3.90
20221019	3.37
20221020	2.76
20221021	2.39
20221022	2.27
20221023	4.92
20221024	6.59
20221025	4.77
20221026	11.75
20221027	6.68
20221028	4.96
20221029	5.94
20221030	5.42
20221031	3.37
20221101	3.37
20221102	5.43
20221103	10.80
20221104	9.93
20221105	8.16
20221106	6.03
20221107	7.61
20221108	6.54
20221109	7.61
20221110	5.88
20221111	4.75
20221112	3.89
20221113	3.33
20221114	3.25
20221115	4.55
20221116	6.84
20221117	13.09
20221118	6.39
20221119	3.77
20221120	4.03
20221121	2.76
20221122	2.30
20221123	2.85
20221124	2.97
20221125	4.09
20221126	5.88
20221127	6.61
20221128	7.83
20221129	5.30
20221130	3.62
20221201	2.78
20221202	2.35
20221203	1.98
20221204	1.82
20221205	1.70
20221206	1.69
20221207	1.65
20221208	1.74
20221209	1.87
20221210	1.87
20221211	1.98
20221212	1.99
20221213	1.90
20221214	1.79
20221215	1.66
20221216	1.57
20221217	1.51
20221218	1.55
20221219	1.69
20221220	2.13
20221221	3.75
20221222	3.87
20221223	2.87
20221224	2.05
20221225	1.68
20221226	3.14
20221227	2.51
20221228	1.81
20221229	1.80
20221230	1.65
20221231	2.09
20230101	1.71
20230102	1.49
20230103	1.35
20230104	1.25
20230105	1.72
20230106	1.46
20230107	1.48
20230108	2.93
20230109	4.26
20230110	3.14
20230111	2.60
20230112	2.24
20230113	1.91
20230114	1.64
20230115	1.55
20230116	1.50
20230117	1.41
20230118	1.42
20230119	1.25
20230120	1.21
20230121	1.14
20230122	1.14
20230123	1.31
20230124	1.18
20230125	1.18
20230126	1.33
20230127	1.26
20230128	1.16
20230129	1.09
20230130	1.22
20230131	1.18
20230201	1.10
20230202	1.26
20230203	1.09
20230204	0.92
20230205	0.86
20230206	0.80
20230207	0.74
20230208	0.71
20230209	0.81
20230210	0.86
20230211	0.92
20230212	0.97
20230213	0.97
20230214	0.96
20230215	0.82
20230216	0.76
20230217	0.89
20230218	0.97
20230219	1.03
20230220	1.10
20230221	1.16
20230222	1.03
20230223	1.10
20230224	1.16
20230225	1.42
20230226	2.02
20230227	2.38
20230228	2.00
20230301	1.74
20230302	1.55
20230303	1.41
20230304	1.35
20230305	1.35
20230306	1.08
20230307	0.86
20230308	0.84
20230309	0.75
20230310	0.67
20230311	0.63
20230312	0.68
20230313	0.67
20230314	0.65
20230315	0.61
20230316	0.57
20230317	0.61
20230318	0.73
20230319	0.69
20230320	0.75
20230321	0.76
20230322	0.77
20230323	0.86
20230324	1.07
20230325	1.31
20230326	1.41
20230327	1.49
20230328	1.57
20230329	1.40
20230330	1.34
20230331	2.78
20230401	7.42
20230402	6.85
20230403	4.48
20230404	2.84
20230405	2.30
20230406	2.04
20230407	1.69
20230408	1.48
20230409	1.33
20230410	1.36
20230411	3.49
20230412	3.10
20230413	3.10
20230414	3.52
20230415	3.38
20230416	3.38
20230417	3.57
20230418	3.83
20230419	4.12
20230420	4.74
20230421	5.65
20230422	6.56
20230423	7.81
20230424	7.70
20230425	6.92
20230426	5.95
20230427	4.96
20230428	4.37
20230429	4.07
20230430	3.85
20230501	3.76
20230502	3.93
20230503	4.15
20230504	4.24
20230505	4.08
20230506	3.77
20230507	3.49
20230508	3.70
20230509	4.94
20230510	8.31
20230511	9.95
20230512	12.64
20230513	13.70
20230514	13.58
20230515	16.25
