Riversystem HJELLE_daily_e163 reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2023 3 30 0 0.3573 
2023 3 31 0 0.3648 
2023 4 1 0 0.4168 
2023 4 2 0 0.4634 
2023 4 3 0 0.4872 
2023 4 4 0 0.4953 
2023 4 5 0 0.4981 
2023 4 6 0 0.4985 
2023 4 7 0 0.4955 
2023 4 8 0 0.4906 
2023 4 9 0 0.4841 
2023 4 10 0 0.4780 
2023 4 11 0 0.4923 
2023 4 12 0 0.5028 
2023 4 13 0 0.5134 
2023 4 14 0 0.5280 
2023 4 15 0 0.5412 
2023 4 16 0 0.5545 
2023 4 17 0 0.5696 
2023 4 18 0 0.5871 
2023 4 19 0 0.6075 
2023 4 20 0 0.6338 
2023 4 21 0 0.6688 
2023 4 22 0 0.7126 
2023 4 23 0 0.7684 
2023 4 24 0 0.8231 
2023 4 25 0 0.8703 
2023 4 26 0 0.9082 
2023 4 27 0 0.9367 
2023 4 28 0 0.9594 
2023 4 29 0 0.9793 
2023 4 30 0 0.9970 
2023 5 1 0 1.0115 
2023 5 2 0 1.0249 
2023 5 3 0 1.0376 
2023 5 4 0 1.0489 
2023 5 5 0 1.0570 
2023 5 6 0 1.0612 
2023 5 7 0 1.0625 
2023 5 8 0 1.0652 
2023 5 9 0 1.0772 
2023 5 10 0 1.1140 
2023 5 11 0 1.1574 
2023 5 12 0 1.2147 
2023 5 13 0 1.2705 
2023 5 14 0 1.3157 
2023 5 15 0 1.3743 
2023 5 16 0 1.4536 
2023 5 17 0 1.4856 
2023 5 18 0 1.4814 
2023 5 19 0 1.4661 
2023 5 20 0 1.4508 
2023 5 21 0 1.4331 
2023 5 22 0 1.4152 
2023 5 23 0 1.4170 
2023 5 24 0 1.4234 
2023 5 25 0 1.4216 
2023 5 26 0 1.4234 
2023 5 27 0 1.4164 
2023 5 28 0 1.3936 
2023 5 29 0 1.3569 
2023 5 30 0 1.3184 
2023 5 31 0 1.2810 
2023 6 1 0 1.2459 
2023 6 2 0 1.2117 
2023 6 3 0 1.1795 
2023 6 4 0 1.1507 
2023 6 5 0 1.1248 
2023 6 6 0 1.1012 
2023 6 7 0 1.0796 
2023 6 8 0 1.0602 
2023 6 9 0 1.0425 
2023 6 10 0 1.0266 
2023 6 11 0 1.0123 
2023 6 12 0 0.9997 
2023 6 13 0 0.9862 
2023 6 14 0 0.9719 
2023 6 15 0 0.9571 
2023 6 16 0 0.9421 
2023 6 17 0 0.9266 
2023 6 18 0 0.9110 
2023 6 19 0 0.8954 
2023 6 20 0 0.8802 
2023 6 21 0 0.8671 
2023 6 22 0 0.8667 
2023 6 23 0 0.8612 
2023 6 24 0 0.8516 
2023 6 25 0 0.8393 
2023 6 26 0 0.8257 
2023 6 27 0 0.8117 
2023 6 28 0 0.7978 
2023 6 29 0 0.7836 
2023 6 30 0 0.7694 
2023 7 1 0 0.7546 
2023 7 2 0 0.7398 
2023 7 3 0 0.7250 
2023 7 4 0 0.7112 
2023 7 5 0 0.6973 
2023 7 6 0 0.6842 
2023 7 7 0 0.6735 
2023 7 8 0 0.6692 
2023 7 9 0 0.6660 
2023 7 10 0 0.6608 
2023 7 11 0 0.6542 
2023 7 12 0 0.6497 
2023 7 13 0 0.6430 
2023 7 14 0 0.6340 
2023 7 15 0 0.6266 
2023 7 16 0 0.6299 
2023 7 17 0 0.6425 
2023 7 18 0 0.6506 
2023 7 19 0 0.6524 
2023 7 20 0 0.6505 
2023 7 21 0 0.6459 
2023 7 22 0 0.6395 
2023 7 23 0 0.6326 
2023 7 24 0 0.6244 
2023 7 25 0 0.6145 
2023 7 26 0 0.6038 
2023 7 27 0 0.5921 
2023 7 28 0 0.5798 
2023 7 29 0 0.5673 
2023 7 30 0 0.5562 
2023 7 31 0 0.5554 
2023 8 1 0 0.5501 
2023 8 2 0 0.5401 
2023 8 3 0 0.5280 
2023 8 4 0 0.5149 
2023 8 5 0 0.5014 
2023 8 6 0 0.4874 
2023 8 7 0 0.4728 
2023 8 8 0 0.4635 
2023 8 9 0 0.4593 
2023 8 10 0 0.4543 
2023 8 11 0 0.4523 
2023 8 12 0 0.4458 
2023 8 13 0 0.4364 
2023 8 14 0 0.4259 
2023 8 15 0 0.4237 
2023 8 16 0 0.4247 
2023 8 17 0 0.4221 
2023 8 18 0 0.4166 
2023 8 19 0 0.4098 
2023 8 20 0 0.4115 
2023 8 21 0 0.4084 
2023 8 22 0 0.4022 
2023 8 23 0 0.3942 
2023 8 24 0 0.3845 
2023 8 25 0 0.3775 
2023 8 26 0 0.3768 
2023 8 27 0 0.3771 
2023 8 28 0 0.3732 
2023 8 29 0 0.3664 
2023 8 30 0 0.3578 
2023 8 31 0 0.3480 
