Riversystem syn_rho1_R0p5 reservoir fractions [fr] 
YYYY MM DD HH SYN_RHO1_R0P5 
2023 3 29 0 0.2412 
2023 3 30 0 0.2370 
2023 3 31 0 0.2697 
2023 4 1 0 0.4211 
2023 4 2 0 0.5580 
2023 4 3 0 0.6342 
2023 4 4 0 0.6684 
2023 4 5 0 0.6888 
2023 4 6 0 0.7026 
2023 4 7 0 0.7074 
2023 4 8 0 0.7069 
2023 4 9 0 0.7025 
2023 4 10 0 0.6989 
2023 4 11 0 0.7498 
2023 4 12 0 0.7907 
2023 4 13 0 0.8316 
2023 4 14 0 0.8832 
2023 4 15 0 0.9313 
2023 4 16 0 0.9793 
2023 4 17 0 1.0211 
2023 4 18 0 1.0528 
2023 4 19 0 1.0784 
2023 4 20 0 1.1055 
2023 4 21 0 1.1385 
2023 4 22 0 1.1753 
2023 4 23 0 1.2203 
2023 4 24 0 1.2479 
2023 4 25 0 1.2530 
2023 4 26 0 1.2400 
2023 4 27 0 1.2150 
2023 4 28 0 1.1887 
2023 4 29 0 1.1665 
2023 4 30 0 1.1483 
2023 5 1 0 1.1348 
2023 5 2 0 1.1289 
2023 5 3 0 1.1287 
2023 5 4 0 1.1301 
2023 5 5 0 1.1283 
2023 5 6 0 1.1219 
2023 5 7 0 1.1131 
2023 5 8 0 1.1108 
2023 5 9 0 1.1301 
2023 5 10 0 1.1991 
2023 5 11 0 1.2717 
2023 5 12 0 1.3646 
2023 5 13 0 1.4379 
2023 5 14 0 1.4809 
2023 5 15 0 1.5493 
2023 5 16 0 1.6522 
2023 5 17 0 1.6502 
2023 5 18 0 1.5882 
2023 5 19 0 1.5236 
2023 5 20 0 1.4807 
2023 5 21 0 1.4444 
2023 5 22 0 1.4157 
2023 5 23 0 1.4311 
2023 5 24 0 1.4500 
2023 5 25 0 1.4477 
2023 5 26 0 1.4528 
2023 5 27 0 1.4391 
2023 5 28 0 1.3971 
2023 5 29 0 1.3343 
2023 5 30 0 1.2758 
2023 5 31 0 1.2260 
2023 6 1 0 1.1845 
2023 6 2 0 1.1467 
2023 6 3 0 1.1135 
2023 6 4 0 1.0873 
2023 6 5 0 1.0658 
2023 6 6 0 1.0471 
2023 6 7 0 1.0306 
2023 6 8 0 1.0163 
2023 6 9 0 1.0038 
2023 6 10 0 0.9889 
2023 6 11 0 0.9705 
2023 6 12 0 0.9495 
2023 6 13 0 0.9264 
2023 6 14 0 0.9011 
2023 6 15 0 0.8744 
2023 6 16 0 0.8470 
2023 6 17 0 0.8186 
2023 6 18 0 0.7897 
2023 6 19 0 0.7610 
2023 6 20 0 0.7333 
2023 6 21 0 0.7111 
2023 6 22 0 0.7228 
2023 6 23 0 0.7210 
2023 6 24 0 0.7082 
2023 6 25 0 0.6882 
2023 6 26 0 0.6646 
2023 6 27 0 0.6400 
2023 6 28 0 0.6157 
2023 6 29 0 0.5906 
2023 6 30 0 0.5655 
2023 7 1 0 0.5389 
2023 7 2 0 0.5122 
2023 7 3 0 0.4856 
2023 7 4 0 0.4615 
2023 7 5 0 0.4372 
2023 7 6 0 0.4152 
2023 7 7 0 0.3995 
2023 7 8 0 0.4008 
2023 7 9 0 0.4048 
2023 7 10 0 0.4038 
2023 7 11 0 0.3989 
2023 7 12 0 0.3999 
2023 7 13 0 0.3947 
2023 7 14 0 0.3834 
2023 7 15 0 0.3765 
2023 7 16 0 0.3980 
2023 7 17 0 0.4445 
2023 7 18 0 0.4787 
2023 7 19 0 0.4963 
2023 7 20 0 0.5040 
2023 7 21 0 0.5045 
2023 7 22 0 0.5001 
2023 7 23 0 0.4947 
2023 7 24 0 0.4854 
2023 7 25 0 0.4719 
2023 7 26 0 0.4560 
2023 7 27 0 0.4378 
2023 7 28 0 0.4178 
2023 7 29 0 0.3970 
2023 7 30 0 0.3804 
2023 7 31 0 0.3908 
2023 8 1 0 0.3895 
2023 8 2 0 0.3757 
2023 8 3 0 0.3562 
2023 8 4 0 0.3339 
2023 8 5 0 0.3109 
2023 8 6 0 0.2863 
2023 8 7 0 0.2602 
2023 8 8 0 0.2481 
2023 8 9 0 0.2496 
2023 8 10 0 0.2491 
2023 8 11 0 0.2565 
2023 8 12 0 0.2521 
2023 8 13 0 0.2398 
2023 8 14 0 0.2244 
2023 8 15 0 0.2313 
2023 8 16 0 0.2468 
2023 8 17 0 0.2527 
2023 8 18 0 0.2506 
2023 8 19 0 0.2455 
2023 8 20 0 0.2626 
2023 8 21 0 0.2671 
2023 8 22 0 0.2635 
2023 8 23 0 0.2548 
2023 8 24 0 0.2417 
2023 8 25 0 0.2358 
2023 8 26 0 0.2468 
2023 8 27 0 0.2603 
2023 8 28 0 0.2626 
2023 8 29 0 0.2574 
2023 8 30 0 0.2472 
2023 8 31 0 0.2338 
