CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 12 9 0 2.4910 0.03587178 2.4918 0.0000 
2022 12 10 0 2.4911 0.03587188 2.4911 0.0000 
2022 12 11 0 2.5418 0.03656238 2.5338 0.0000 
2022 12 12 0 2.5796 0.03711594 2.5732 0.0000 
2022 12 13 0 2.5629 0.03691832 2.5652 0.0000 
2022 12 14 0 2.5013 0.03606760 2.5112 0.0000 
2022 12 15 0 2.4012 0.03465634 2.4175 0.0000 
2022 12 16 0 2.2942 0.03312178 2.3119 0.0000 
2022 12 17 0 2.1966 0.03170864 2.2129 0.0000 
2022 12 18 0 2.1511 0.03101273 2.1591 0.0000 
2022 12 19 0 2.1858 0.03144871 2.1807 0.0000 
2022 12 20 0 2.4111 0.03454211 2.3753 0.0000 
2022 12 21 0 3.3044 0.04687855 3.1616 0.0000 
2022 12 22 0 3.9442 0.05628136 3.8354 0.0000 
2022 12 23 0 3.9025 0.05621959 3.9032 0.0000 
2022 12 24 0 3.4977 0.05068506 3.5617 0.0000 
2022 12 25 0 3.0624 0.04444621 3.1346 0.0000 
2022 12 26 0 3.4498 0.04937880 3.3927 0.0000 
2022 12 27 0 3.4132 0.04917282 3.4156 0.0000 
2022 12 28 0 3.0670 0.04443652 3.1218 0.0000 
2022 12 29 0 2.8358 0.04102182 2.8753 0.0000 
2022 12 30 0 2.6154 0.03783863 2.6523 0.0000 
2022 12 31 0 2.6738 0.03846045 2.6666 0.0000 
2023 1 1 0 2.5371 0.03664036 2.5581 0.0000 
2023 1 2 0 2.3463 0.03393842 2.3776 0.0000 
2023 1 3 0 2.1570 0.03121204 2.1885 0.0000 
2023 1 4 0 2.0000 0.02892607 2.0265 0.0000 
2023 1 5 0 2.0878 0.02999753 2.0754 0.0000 
2023 1 6 0 2.0385 0.02939134 2.0455 0.0000 
2023 1 7 0 2.0154 0.02904058 2.0195 0.0000 
2023 1 8 0 2.6679 0.03790599 2.5653 0.0000 
2023 1 9 0 3.7073 0.05255917 3.5377 0.0000 
2023 1 10 0 3.8718 0.05560904 3.8365 0.0000 
2023 1 11 0 3.7308 0.05383166 3.7514 0.0000 
2023 1 12 0 3.4728 0.05021268 3.5147 0.0000 
2023 1 13 0 3.1520 0.04564441 3.2049 0.0000 
2023 1 14 0 2.8178 0.04084292 2.8733 0.0000 
2023 1 15 0 2.5576 0.03703863 2.6016 0.0000 
2023 1 16 0 2.3643 0.03420191 2.3972 0.0000 
2023 1 17 0 2.1964 0.03176304 2.2246 0.0000 
2023 1 18 0 2.0911 0.03019747 2.1093 0.0000 
2023 1 19 0 2.0000 0.02887312 2.0153 0.0000 
2023 1 20 0 2.0000 0.02880135 2.0008 0.0000 
2023 1 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 29 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 30 0 2.0000 0.02880000 2.0000 0.0000 
2023 1 31 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 1 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 2 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 3 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 4 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 5 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 6 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 7 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 8 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 9 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 10 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 11 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 12 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 13 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 14 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 15 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 16 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 17 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 18 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 19 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 20 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 1 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 2 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 3 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 4 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 5 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 6 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 7 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 8 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 9 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 10 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 11 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 12 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 13 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 14 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 15 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 16 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 17 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 18 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 19 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 20 0 2.0000 0.02880000 2.0000 0.0000 
